LoanProgID,ProjectCounty,ProjectState,ProgramType,ProgramDesc,JobsSupported,MethodID,SBABranchID
LP4550,OUTAGAMIE,WI,7A,Guaranty,27,PLP,105
LP4551,BERNALILLO,NM,7A,Guaranty,50,PLP,129
LP4552,DELAWARE,OH,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,223
LP4553,QUEENS,NY,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,265
LP4554,MILWAUKEE,WI,7A,Guaranty,3,OTH 7A,350
LP4555,MIAMI,OH,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,283
LP4556,WAKE,NC,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,67
LP4557,CUMBERLAND,ME,7A,Community Express,2,COMM EXPRS,84
LP4558,COOK,IL,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,430
LP4559,CARROLL,NH,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,202
LP4560,MARION,OR,7A,Guaranty,82,PLP,360
LP4561,RIVERSIDE,CA,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,436
LP4562,MARICOPA,AZ,7A,FA$TRK (Small Loan Express),38,SBA EXPRES,303
LP4563,ADAMS,IN,7A,Community Express,5,COMM EXPRS,5
LP4564,CONTRA COSTA,CA,7A,FA$TRK (Small Loan Express),18,SBA EXPRES,173
LP4565,SNOHOMISH,WA,7A,Guaranty,2,PLP,12
LP4566,MARICOPA,AZ,7A,Guaranty,17,PLP,336
LP4567,LAFAYETTE,LA,7A,Community Express,4,COMM EXPRS,125
LP4568,GRANT,WA,7A,Guaranty,3,PLP,178
LP4569,DALLAS,TX,7A,Guaranty,5,PLP,332
LP4570,SNOHOMISH,WA,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,305
LP4571,CHRISTIAN,MO,7A,Community Express,6,COMM EXPRS,45
LP4572,KOOTENAI,ID,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,53
LP4573,JASPER,MO,7A,Guaranty,2,PLP,45
LP4574,ORANGE,CA,7A,Guaranty,16,PLP,182
LP4575,WHATCOM,WA,7A,Patriot Express,2,PATRIOT EX,12
LP4576,SHELBY,TN,7A,Guaranty,5,PLP,220
LP4577,MIDDLESEX,NJ,7A,Guaranty,8,PLP,401
LP4578,MONMOUTH,NJ,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,244
LP4579,MONMOUTH,NJ,7A,Guaranty,10,PLP,244
LP4580,ESSEX,NJ,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,302
LP4581,ESSEX,NJ,7A,Guaranty,10,PLP,302
LP4582,SAN DIEGO,CA,7A,Guaranty,14,PLP,110
LP4583,ETOWAH,AL,7A,Patriot Express,5,PATRIOT EX,245
LP4584,HILLSBOROUGH,FL,7A,Guaranty,15,PLP,408
LP4585,WASHOE,NV,7A,Guaranty,2,PLP,227
LP4586,DENVER,CO,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,1
LP4587,BELL,TX,7A,Guaranty,10,OTH 7A,74
LP4588,POLK,IA,7A,Guaranty,5,PLP,160
LP4589,ADA,ID,7A,Guaranty,44,OTH 7A,161
LP4590,DOUGLAS,NE,7A,Guaranty,6,PLP,217
LP4591,HENNEPIN,MN,7A,Guaranty,30,PLP,38
LP4592,SPOTSYLVANIA,VA,7A,Guaranty,11,PLP,166
LP4593,SUFFOLK,MA,7A,FA$TRK (Small Loan Express),35,SBA EXPRES,176
LP4594,FRANKLIN,OH,7A,Guaranty,6,PLP,121
LP4595,STEARNS,MN,7A,Guaranty,30,OTH 7A,8
LP4596,LOS ANGELES,CA,7A,Guaranty,5,PLP,159
LP4597,LOS ANGELES,CA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,184
LP4598,HILLSBOROUGH,NH,7A,Guaranty,6,OTH 7A,291
LP4599,DUVAL,FL,7A,Patriot Express,11,PATRIOT EX,345
LP4600,COLLIN,TX,7A,FA$TRK (Small Loan Express),19,SBA EXPRES,46
LP4601,COLLIN,TX,7A,Guaranty,19,PLP,46
LP4602,IREDELL,NC,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,435
LP4603,DUVAL,FL,7A,Patriot Express,10,PATRIOT EX,345
LP4604,JACKSON,GA,7A,Guaranty,7,PLP,163
LP4605,MARICOPA,AZ,7A,Guaranty,4,PLP,336
LP4606,DAKOTA,MN,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,143
LP4607,ADAMS,CO,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,115
LP4608,LOS ANGELES,CA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,229
LP4609,PHILADELPHIA,PA,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,243
LP4610,SAN MATEO,CA,7A,Community Express,2,COMM EXPRS,134
LP4611,HUNTERDON,NJ,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,142
LP4612,COMAL,TX,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,207
LP4613,LAKE,MT,7A,Guaranty,10,PLP,123
LP4614,WALWORTH,WI,7A,Patriot Express,7,PATRIOT EX,89
LP4615,WILSON,TN,7A,Community Express,10,COMM EXPRS,334
LP4616,WAUKESHA,WI,7A,Community Express,4,COMM EXPRS,103
LP4617,MIDDLESEX,MA,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,21
LP4618,CAROLINA,PR,7A,Guaranty,3,OTH 7A,18
LP4619,NORTHAMPTON,PA,7A,Patriot Express,26,PATRIOT EX,284
LP4620,HURON,OH,7A,Guaranty,18,PLP,488
LP4621,HENRICO,VA,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,166
LP4622,MIDDLESEX,MA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,333
LP4623,BOULDER,CO,7A,Community Express,3,COMM EXPRS,56
LP4624,MIDDLESEX,MA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,333
LP4625,HARRIS,TX,7A,Guaranty,2,PLP,70
LP4626,NASSAU,NY,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,365
LP4627,MARICOPA,AZ,7A,Guaranty,2,PLP,196
LP4628,MANITOWOC,WI,7A,FA$TRK (Small Loan Express),18,SBA EXPRES,26
LP4629,OAKLAND,MI,7A,FA$TRK (Small Loan Express),4,EXPRES EXP,101
LP4630,SACRAMENTO,CA,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,321
LP4631,MONTGOMERY,TN,7A,Patriot Express,22,PATRIOT EX,6
LP4632,PENNINGTON,SD,7A,Patriot Express,7,PATRIOT EX,164
LP4633,SPOKANE,WA,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,212
LP4634,YATES,NY,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,439
LP4635,MONTGOMERY,MD,7A,Guaranty,27,PLP,275
LP4636,SMITH,TX,7A,Rural Lender Advantage,2,RLA,116
LP4637,ARAPAHOE,CO,7A,Community Express,4,COMM EXPRS,218
LP4638,RIVERSIDE,CA,7A,Guaranty,4,PLP,436
LP4639,BROWARD,FL,7A,Community Express,3,COMM EXPRS,273
LP4640,KING,WA,7A,Guaranty,2,OTH 7A,368
LP4641,ROCKLAND,NY,7A,Revolving Line of Credit Exports - Sec. 7(a) (14),2,EWCP,421
LP4642,NIAGARA,NY,7A,Guaranty,12,PLP,254
LP4643,BUNCOMBE,NC,7A,Patriot Express,9,PATRIOT EX,387
LP4644,MADISON,AR,7A,Guaranty,4,OTH 7A,242
LP4645,YAMHILL,OR,7A,Guaranty,37,PLP,152
LP4646,CACHE,UT,7A,Guaranty,4,PLP,36
LP4647,WOOD,WV,7A,Patriot Express,2,PATRIOT EX,44
LP4648,MILWAUKEE,WI,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,89
LP4649,DARKE,OH,7A,FA$TRK (Small Loan Express),15,SBA EXPRES,283
LP4650,MONROE,WI,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,16
LP4651,LAFAYETTE,LA,7A,Guaranty,16,PLP,125
LP4652,MOORE,NC,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,316
LP4653,MADISON,IL,7A,Community Express,4,COMM EXPRS,407
LP4654,STARK,OH,7A,Rural Lender Advantage,8,RLA,52
LP4655,TARRANT,TX,7A,Community Express,9,COMM EXPRS,154
LP4656,LAKE,IL,7A,Guaranty,15,OTH 7A,266
LP4657,SEVIER,UT,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,54
LP4658,SUFFOLK,NY,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,30
LP4659,LOS ANGELES,CA,7A,Community Express,4,COMM EXPRS,190
LP4660,LOS ANGELES,CA,7A,Guaranty,10,PLP,190
LP4661,HONOLULU,HI,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,124
LP4662,LOS ANGELES,CA,7A,FA$TRK (Small Loan Express),5,EXPRES EXP,190
LP4663,CLACKAMAS,OR,7A,FA$TRK (Small Loan Express),16,SBA EXPRES,360
LP4664,DENVER,CO,7A,Guaranty,25,OTH 7A,1
LP4665,WEBER,UT,7A,FA$TRK (Small Loan Express),14,SBA EXPRES,36
LP4666,CHESHIRE,NH,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,291
LP4667,SUFFOLK,MA,7A,FA$TRK (Small Loan Express),35,SBA EXPRES,176
LP4668,SANTA CLARA,CA,7A,Community Express,6,COMM EXPRS,400
LP4669,WAUKESHA,WI,7A,Community Express,9,COMM EXPRS,103
LP4670,CHESAPEAKE CITY,VA,7A,Guaranty,0,PLP,288
LP4671,COMAL,TX,7A,Guaranty,1,OTH 7A,207
LP4672,PROVIDENCE,RI,7A,Guaranty,20,PLP,262
LP4673,WAKE,NC,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,91
LP4674,FULTON,GA,7A,Community Express,22,COMM EXPRS,58
LP4675,BERNALILLO,NM,7A,Guaranty,1,OTH 7A,129
LP4676,KING,WA,7A,Guaranty,2,OTH 7A,368
LP4677,HUNTERDON,NJ,7A,Community Express,3,COMM EXPRS,142
LP4678,KING,WA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,368
LP4679,DAVIS,UT,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,36
LP4680,PICKENS,SC,7A,Guaranty,6,PLP,371
LP4681,IREDELL,NC,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,435
LP4682,PLACER,CA,7A,Guaranty,2,OTH 7A,252
LP4683,FULTON,GA,7A,Guaranty,3,PLP,58
LP4684,MIAMI-DADE,FL,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,76
LP4685,SHAWNEE,KS,7A,Guaranty,20,OTH 7A,299
LP4686,COOK,IL,7A,Guaranty,3,PLP,62
LP4687,GUAM,GU,7A,FA$TRK (Small Loan Express),26,SBA EXPRES,351
LP4688,BERGEN,NJ,7A,FA$TRK (Small Loan Express),20,SBA EXPRES,75
LP4689,SALT LAKE,UT,7A,Guaranty,10,PLP,136
LP4690,POLK,TN,7A,Guaranty,9,OTH 7A,341
LP4691,KING,WA,7A,Guaranty,2,PLP,305
LP4692,PIERCE,WA,7A,Guaranty,2,PLP,209
LP4693,GORDON,GA,7A,Guaranty,10,OTH 7A,247
LP4694,HENNEPIN,MN,7A,Guaranty,4,OTH 7A,38
LP4695,UTAH,UT,7A,Patriot Express,2,PATRIOT EX,140
LP4696,LYON,MN,7A,Guaranty,60,OTH 7A,8
LP4697,GLOUCESTER,NJ,7A,Guaranty,2,PLP,255
LP4698,BREVARD,FL,7A,Guaranty,3,PLP,271
LP4699,BOULDER,CO,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,56
LP4700,LOS ANGELES,CA,7A,Community Express,22,COMM EXPRS,190
LP4701,HARTFORD,CT,7A,FA$TRK (Small Loan Express),12,SBA EXPRES,4
LP4702,YAMHILL,OR,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,152
LP4703,MARICOPA,AZ,7A,FA$TRK (Small Loan Express),30,SBA EXPRES,196
LP4704,GAGE,NE,7A,Guaranty,6,OTH 7A,296
LP4705,GRAY,TX,7A,Guaranty,9,OTH 7A,267
LP4706,YELLOWSTONE,MT,7A,Guaranty,2,OTH 7A,123
LP4707,CACHE,UT,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,36
LP4708,BALTIMORE,MD,7A,Guaranty,1,PLP,60
LP4709,LA PORTE,IN,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,128
LP4710,GRAND TRAVERSE,MI,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,97
LP4711,WAUPACA,WI,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,105
LP4712,SAN DIEGO,CA,7A,Guaranty,16,PLP,260
LP4713,SANTA BARBARA,CA,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,418
LP4714,MASON,WA,7A,Guaranty,4,OTH 7A,83
LP4715,BINGHAM,ID,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,82
LP4716,HENRICO,VA,7A,FA$TRK (Small Loan Express),17,SBA EXPRES,166
LP4717,SHASTA,CA,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,139
LP4718,ALLEGHENY,PA,7A,Guaranty,100,PLP,375
LP4719,STANISLAUS,CA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,388
LP4720,OAKLAND,MI,7A,Guaranty,25,OTH 7A,59
LP4721,SPOKANE,WA,7A,FA$TRK (Small Loan Express),13,SBA EXPRES,212
LP4722,WAKE,NC,7A,Community Express,9,COMM EXPRS,91
LP4723,MIDDLESEX,MA,7A,Guaranty,65,PLP,333
LP4724,ASCENSION,LA,7A,Community Express,1,COMM EXPRS,346
LP4725,VENTURA,CA,7A,Guaranty,4,PLP,221
LP4726,LORAIN,OH,7A,Guaranty,2,PLP,237
LP4727,CHEROKEE,GA,7A,Guaranty,7,PLP,320
LP4728,SAINT CHARLES,MO,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,290
LP4729,TARRANT,TX,7A,Guaranty,2,PLP,249
LP4730,NORFOLK,MA,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,176
LP4731,COVINGTON,MS,7A,Guaranty,3,OTH 7A,133
LP4732,FULTON,GA,7A,Guaranty,11,PLP,58
LP4733,MACOMB,MI,7A,Patriot Express,8,PATRIOT EX,48
LP4734,MACOMB,MI,7A,Patriot Express,8,PATRIOT EX,48
LP4735,MORGAN,IL,7A,Guaranty,30,OTH 7A,138
LP4736,FOND DU LAC,WI,7A,Guaranty,4,OTH 7A,26
LP4737,ALAMANCE,NC,7A,Patriot Express,0,PATRIOT EX,91
LP4738,CHEMUNG,NY,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,240
LP4739,SUMMIT,OH,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,192
LP4740,MONROE,NY,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,31
LP4741,SUMMIT,OH,7A,Guaranty,9,PLP,192
LP4742,LUCAS,OH,7A,FA$TRK (Small Loan Express),19,SBA EXPRES,79
LP4743,CHEMUNG,NY,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,240
LP4744,ONONDAGA,NY,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,308
LP4745,SHAWANO,WI,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,105
LP4746,SHAWANO,WI,7A,Guaranty,5,PLP,105
LP4747,CUYAHOGA,OH,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,200
LP4748,LUCAS,OH,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,318
LP4749,SUMMIT,UT,7A,Guaranty,15,PLP,36
LP4750,WAUKESHA,WI,7A,Guaranty,7,OTH 7A,103
LP4751,ORANGE,CA,7A,Guaranty,1,PLP,402
LP4752,FORSYTH,GA,7A,Guaranty,0,PLP,163
LP4753,UTAH,UT,7A,Guaranty,15,PLP,140
LP4754,COOK,IL,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,149
LP4755,FORSYTH,GA,7A,Guaranty,0,PLP,163
LP4756,TERREBONNE,LA,7A,Gulf Opportunity,4,GO LOANS,261
LP4757,DUTCHESS,NY,7A,FA$TRK (Small Loan Express),26,SBA EXPRES,383
LP4758,PIKE,AR,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,242
LP4759,ORANGE,CA,7A,Guaranty,0,PLP,246
LP4760,ESSEX,MA,7A,FA$TRK (Small Loan Express),0,SBA EXPRES,21
LP4761,ORANGE,CA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,402
LP4762,YORK,ME,7A,Guaranty,42,PLP,84
LP4763,FAYETTE,IA,7A,Patriot Express,4,PATRIOT EX,126
LP4764,LOS ANGELES,CA,7A,Guaranty,3,PLP,229
LP4765,HONOLULU,HI,7A,FA$TRK (Small Loan Express),30,SBA EXPRES,124
LP4766,DENVER,CO,7A,Guaranty,0,PLP,1
LP4767,MONTEREY,CA,7A,Guaranty,10,PLP,330
LP4768,LAKE,IL,7A,Guaranty,4,PLP,266
LP4769,LAKE,IL,7A,Guaranty,4,PLP,266
LP4770,SPOKANE,WA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,212
LP4771,ADA,ID,7A,Guaranty,24,PLP,82
LP4772,BERRIEN,MI,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,258
LP4773,JEFFERSON,CO,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,1
LP4774,SAN BERNARDINO,CA,7A,Guaranty,8,PLP,28
LP4775,WAYNE,MI,7A,Guaranty,2,PLP,170
LP4776,HARRIS,TX,7A,Guaranty,4,PLP,70
LP4777,KING,WA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,117
LP4778,CAMPBELL,KY,7A,Guaranty,17,PLP,382
LP4779,COOK,IL,7A,Guaranty,8,PLP,215
LP4780,NASSAU,NY,7A,Guaranty,18,PLP,411
LP4781,WESTCHESTER,NY,7A,Guaranty,1,PLP,327
LP4782,HARRIS,TX,7A,Guaranty,10,PLP,70
LP4783,MONMOUTH,NJ,7A,Guaranty,4,PLP,401
LP4784,ROCKLAND,NY,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,421
LP4785,HILLSBOROUGH,NH,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,202
LP4786,SALT LAKE,UT,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,54
LP4787,ROCKWALL,TX,7A,Guaranty,10,PLP,293
LP4788,LINCOLN,MT,7A,Community Express,2,COMM EXPRS,123
LP4789,WESTCHESTER,NY,7A,Guaranty,13,PLP,327
LP4790,HARRIS,TX,7A,Guaranty,5,PLP,70
LP4791,LUCAS,OH,7A,FA$TRK (Small Loan Express),15,SBA EXPRES,79
LP4792,MACON,IL,7A,FA$TRK (Small Loan Express),21,SBA EXPRES,25
LP4793,BOSQUE,TX,7A,Guaranty,4,PLP,409
LP4794,INYO,CA,7A,Contract Guaranty,7,OTH 7A,314
LP4795,LAGRANGE,IN,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,5
LP4796,ERIE,OH,7A,FA$TRK (Small Loan Express),20,SBA EXPRES,488
LP4797,ROCKINGHAM,NH,7A,Guaranty,7,OTH 7A,202
LP4798,WASHINGTON,UT,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,54
LP4799,HARRIS,TX,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,342
LP4800,MARICOPA,AZ,7A,Community Express,1,COMM EXPRS,336
LP4801,RAMSEY,MN,7A,FA$TRK (Small Loan Express),38,SBA EXPRES,50
LP4802,CRAVEN,NC,7A,Guaranty,2,OTH 7A,315
LP4803,MIAMI-DADE,FL,7A,Community Express,5,COMM EXPRS,76
LP4804,PALM BEACH,FL,7A,Guaranty,0,PLP,286
LP4805,CLAY,IA,7A,FA$TRK (Small Loan Express),35,SBA EXPRES,319
LP4806,NEW HANOVER,NC,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,179
LP4807,MADISON,IL,7A,Patriot Express,3,PATRIOT EX,407
LP4808,OAKLAND,MI,7A,Guaranty,15,PLP,101
LP4809,SANTA CRUZ,CA,7A,Guaranty,9,PLP,68
LP4810,ORANGE,CA,7A,Guaranty,8,PLP,402
LP4811,LOS ANGELES,CA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,347
LP4812,ALLEGAN,MI,7A,Community Express,28,COMM EXPRS,258
LP4813,DALLAS,TX,7A,Guaranty,7,PLP,108
LP4814,HARRISON,MS,7A,Community Express,2,COMM EXPRS,251
LP4815,HANCOCK,ME,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,55
LP4816,CUMBERLAND,ME,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,84
LP4817,HARRISON,TX,7A,Community Express,3,COMM EXPRS,116
LP4818,MANITOWOC,WI,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,26
LP4819,ONEIDA,NY,7A,FA$TRK (Small Loan Express),13,SBA EXPRES,122
LP4820,WAKE,NC,7A,Patriot Express,7,PATRIOT EX,91
LP4821,SAINT TAMMANY,LA,7A,Gulf Opportunity,24,GO LOANS,261
LP4822,JEFFERSON,KY,7A,FA$TRK (Small Loan Express),6,SBA EXPRES,356
LP4823,CUMBERLAND,ME,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,84
LP4824,CLACKAMAS,OR,7A,Community Express,2,COMM EXPRS,360
LP4825,BROWN,WI,7A,FA$TRK (Small Loan Express),100,SBA EXPRES,105
LP4826,GRAND ISLE,VT,7A,Guaranty,5,PLP,37
LP4827,CLACKAMAS,OR,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,360
LP4828,QUEENS,NY,7A,Guaranty,6,PLP,265
LP4829,SPOKANE,WA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,212
LP4830,BERGEN,NJ,7A,Community Express,40,COMM EXPRS,130
LP4831,SAN LUIS OBISPO,CA,7A,Guaranty,2,PLP,57
LP4832,RAMSEY,MN,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,50
LP4833,KENT,MI,7A,Community Express,1,COMM EXPRS,147
LP4834,ONONDAGA,NY,7A,FA$TRK (Small Loan Express),14,SBA EXPRES,308
LP4835,TUSCARAWAS,OH,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,237
LP4836,CHRISTIAN,MO,7A,Guaranty,4,PLP,45
LP4837,BUCKS,PA,7A,Community Express,2,COMM EXPRS,297
LP4838,PENNINGTON,SD,7A,FA$TRK (Small Loan Express),14,SBA EXPRES,164
LP4839,SAINT LUCIE,FL,7A,FA$TRK (Small Loan Express),7,SBA EXPRES,13
LP4840,ADA,ID,7A,Guaranty,50,PLP,161
LP4841,TARRANT,TX,7A,Guaranty,8,PLP,137
LP4842,ORANGE,CA,7A,Guaranty,10,PLP,77
LP4843,KING,WA,7A,FA$TRK (Small Loan Express),14,SBA EXPRES,325
LP4844,HANCOCK,ME,7A,Guaranty,1,PLP,55
LP4845,GREENE,MO,7A,Guaranty,2,OTH 7A,45
LP4846,WEBER,UT,7A,FA$TRK (Small Loan Express),9,SBA EXPRES,36
LP4847,CAROLINA,PR,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,18
LP4848,UNION,NJ,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,142
LP4849,LYCOMING,PA,7A,FA$TRK (Small Loan Express),45,SBA EXPRES,155
LP4850,LA CROSSE,WI,7A,Guaranty,15,OTH 7A,119
LP4851,PENNINGTON,SD,7A,Patriot Express,7,PATRIOT EX,164
LP4852,SAN DIEGO,CA,7A,Guaranty,63,OTH 7A,110
LP4853,WESTCHESTER,NY,7A,Guaranty,8,PLP,421
LP4854,ORANGE,CA,7A,Guaranty,1,OTH 7A,204
LP4855,WISE,VA,7A,Community Express,10,COMM EXPRS,463
LP4856,BONNEVILLE,ID,7A,Guaranty,3,PLP,82
LP4857,SULLIVAN,TN,7A,Community Express,6,COMM EXPRS,274
LP4858,JEFFERSON,KY,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,356
LP4859,LAFAYETTE,LA,7A,Community Express,20,COMM EXPRS,125
LP4860,COOK,IL,7A,FA$TRK (Small Loan Express),3,SBA EXPRES,306
LP4861,TAYLOR,TX,7A,Guaranty,14,OTH 7A,94
LP4862,CUMBERLAND,NC,7A,Patriot Express,2,PATRIOT EX,316
LP4863,SNOHOMISH,WA,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,12
LP4864,UNION,NC,7A,FA$TRK (Small Loan Express),8,SBA EXPRES,222
LP4865,JEFFERSON,IL,7A,Rural Lender Advantage,2,RLA,407
LP4866,DOOR,WI,7A,Guaranty,15,PLP,105
LP4867,DAVIDSON,TN,7A,FA$TRK (Small Loan Express),16,SBA EXPRES,334
LP4868,WILLIAMSON,TN,7A,FA$TRK (Small Loan Express),16,SBA EXPRES,6
LP4869,DAKOTA,MN,7A,Guaranty,26,OTH 7A,143
LP4870,MONROE,PA,7A,Guaranty,3,PLP,284
LP4871,FRANKLIN,ME,7A,Guaranty,1,OTH 7A,55
LP4872,SAINT LOUIS CITY,MO,7A,Guaranty,2,PLP,113
LP4873,DENTON,TX,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,150
LP4874,WALKER,GA,7A,Guaranty,4,OTH 7A,424
LP4875,MORRIS,NJ,7A,FA$TRK (Small Loan Express),15,SBA EXPRES,328
LP4876,PLACER,CA,7A,FA$TRK (Small Loan Express),2,SBA EXPRES,252
LP4877,JEFFERSON,WI,7A,FA$TRK (Small Loan Express),27,SBA EXPRES,103
LP4878,FRANKLIN,MO,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,29
LP4879,TREGO,KS,7A,Guaranty,12,OTH 7A,198
LP4880,CUMBERLAND,NJ,7A,Guaranty,0,PLP,253
LP4881,HOCKING,OH,7A,FA$TRK (Small Loan Express),5,SBA EXPRES,121
LP4882,DOUGLAS,NV,7A,FA$TRK (Small Loan Express),30,SBA EXPRES,227
LP4883,HARRIS,TX,7A,Guaranty,16,OTH 7A,20
LP4884,HUMBOLDT,NV,7A,Guaranty,1,OTH 7A,227
LP4885,LOS ANGELES,CA,7A,Guaranty,21,PLP,287
LP4886,BERNALILLO,NM,7A,Guaranty,12,PLP,129
LP4887,JOHNSON,IN,7A,Guaranty,42,OTH 7A,276
LP4888,LAKE,OH,7A,FA$TRK (Small Loan Express),25,SBA EXPRES,35
LP4889,BEXAR,TX,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,353
LP4890,LA CROSSE,WI,7A,Guaranty,4,OTH 7A,119
LP4891,DAVIDSON,TN,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,334
LP4892,ADA,ID,7A,Guaranty,14,PLP,161
LP4893,BRISTOL,MA,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,175
LP4894,KOOTENAI,ID,7A,Guaranty,4,PLP,53
LP4895,GRAND FORKS,ND,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,144
LP4896,BUCKS,PA,7A,Guaranty,0,PLP,297
LP4897,POLK,FL,7A,Guaranty,30,PLP,234
LP4898,HINDS,MS,7A,Guaranty,15,PLP,99
LP4899,CLACKAMAS,OR,7A,FA$TRK (Small Loan Express),10,SBA EXPRES,360
LP4900,JACKSON,MO,7A,Guaranty,16,PLP,146
LP4901,COLLIN,TX,7A,Guaranty,19,PLP,46
LP4902,MARICOPA,AZ,7A,Guaranty,2,PLP,336
LP4903,FORT BEND,TX,7A,Guaranty,7,PLP,405
LP4904,GUAM,GU,7A,FA$TRK (Small Loan Express),1,SBA EXPRES,351
LP4905,ROCKINGHAM,NH,7A,FA$TRK (Small Loan Express),4,SBA EXPRES,202
LP4906,GUAM,GU,7A,Guaranty,1,PLP,351
LP4907,NUECES,TX,7A,Guaranty,30,PLP,455
LP4908,LOS ANGELES,CA,7A,Guaranty,56,PLP,153
