LoanTransID,BankGrossApproval,SBAGuaranteedApproval,FirstDisbursementDate,InitialInterestRate,TermInMonths,PaidInFullDate,LoanBorrID,BankID,LoanDetailID,LoanProgID
10490,2000000,1800000,2/10/2011,8,12,2/29/2012,LB10490,10490,10490,LP10490
10491,43500,21750,2/10/2011,9.65,60,5/31/2015,LB10491,10491,10491,LP10491
10492,20000,10000,2/10/2011,7.25,84,3/31/2014,LB10492,10492,10492,LP10492
10493,15000,7500,3/1/2011,4.25,102,10/31/2019,LB10493,10493,10493,LP10493
10494,50000,25000,3/1/2011,4.5,84,12/31/2017,LB10494,10494,10494,LP10494
10495,20000,10000,6/1/2016,5.75,72,2/28/2017,LB10495,10495,10495,LP10495
10496,12500,10625,2/11/2011,7.24,120,8/31/2020,LB10496,10496,10496,LP10496
10497,15000,13500,2/11/2011,7.75,120,8/31/2017,LB10497,10497,10497,LP10497
10498,15000,12750,2/11/2011,7.75,120,2/28/2018,LB10498,10498,10498,LP10498
10499,150000,75000,5/1/2011,6,60,5/31/2016,LB10499,10499,10499,LP10499
10500,100000,50000,3/1/2011,5.25,48,9/30/2013,LB10500,10500,10500,LP10500
10501,250000,125000,2/11/2011,3.33,84,2/28/2018,LB10501,10501,10501,LP10501
10502,10000,5000,3/1/2011,7.5,84,5/31/2017,LB10502,10502,10502,LP10502
10503,100000,50000,2/11/2011,5.25,27,5/31/2014,LB10503,10503,10503,LP10503
10504,170000,85000,3/1/2011,6,84,3/31/2018,LB10504,10504,10504,LP10504
10505,10000,5000,2/11/2011,8.35,84,6/30/2016,LB10505,10505,10505,LP10505
10506,670000,502500,4/1/2011,6,300,9/30/2015,LB10506,10506,10506,LP10506
10507,535000,401250,3/1/2011,6,120,3/31/2018,LB10507,10507,10507,LP10507
10508,37200,31620,3/1/2011,6,180,4/30/2015,LB10508,10508,10508,LP10508
10509,20000,10000,3/1/2011,4.5,84,1/31/2018,LB10509,10509,10509,LP10509
10510,25000,12500,4/1/2011,8.64,84,2/28/2018,LB10510,10510,10510,LP10510
10511,15000,7500,3/1/2011,6,72,6/30/2013,LB10511,10511,10511,LP10511
10512,35000,17500,1/1/2013,8.31,61,2/28/2018,LB10512,10512,10512,LP10512
10513,60000,30000,3/1/2011,6,48,5/31/2013,LB10513,10513,10513,LP10513
10514,73300,36650,2/11/2011,6,60,4/30/2013,LB10514,10514,10514,LP10514
10515,35000,17500,7/1/2011,8.26,79,7/31/2015,LB10515,10515,10515,LP10515
10516,600000,450000,4/1/2011,6,84,5/31/2017,LB10516,10516,10516,LP10516
10517,25000,12500,11/1/2012,7.92,84,2/28/2018,LB10517,10517,10517,LP10517
10518,100000,50000,5/6/2011,6.25,36,4/30/2015,LB10518,10518,10518,LP10518
10519,175000,131250,6/1/2011,5.75,120,1/31/2019,LB10519,10519,10519,LP10519
10520,22500,11250,2/11/2011,6.74,48,6/30/2015,LB10520,10520,10520,LP10520
10521,31000,15500,3/11/2011,5.75,60,4/30/2013,LB10521,10521,10521,LP10521
10522,344000,172000,2/11/2011,7.74,84,9/30/2012,LB10522,10522,10522,LP10522
10523,210000,157500,2/11/2011,5.5,83,12/31/2012,LB10523,10523,10523,LP10523
10524,35000,17500,2/11/2011,7,8,10/31/2011,LB10524,10524,10524,LP10524
10525,350000,175000,3/1/2011,6,60,2/29/2016,LB10525,10525,10525,LP10525
10526,50000,42500,3/4/2011,7,24,11/30/2018,LB10526,10526,10526,LP10526
10527,650000,325000,3/1/2011,6.25,36,1/31/2013,LB10527,10527,10527,LP10527
10528,2168000,1626000,4/1/2012,8,180,4/30/2018,LB10528,10528,10528,LP10528
10529,10000,5000,2/11/2011,8,84,6/30/2011,LB10529,10529,10529,LP10529
10530,4000000,3000000,7/1/2011,7,240,12/31/2016,LB10530,10530,10530,LP10530
10531,106000,90100,2/11/2011,6,300,8/31/2013,LB10531,10531,10531,LP10531
10532,149500,74750,2/11/2011,6,66,11/30/2013,LB10532,10532,10532,LP10532
10533,100000,85000,6/1/2011,8,84,5/31/2018,LB10533,10533,10533,LP10533
10534,620000,465000,3/1/2011,5.5,96,3/31/2019,LB10534,10534,10534,LP10534
10535,92000,78200,3/1/2011,6,120,3/31/2019,LB10535,10535,10535,LP10535
10536,50000,25000,11/1/2011,5.75,13,8/31/2012,LB10536,10536,10536,LP10536
10537,50000,25000,11/1/2011,9.75,84,6/30/2013,LB10537,10537,10537,LP10537
10538,86900,43450,3/1/2011,6,100,7/31/2018,LB10538,10538,10538,LP10538
10539,2403200,1802400,2/11/2011,5.25,300,10/31/2015,LB10539,10539,10539,LP10539
10540,25000,12500,3/1/2011,7.51,84,11/30/2015,LB10540,10540,10540,LP10540
10541,221900,166425,4/1/2011,6.25,60,6/30/2014,LB10541,10541,10541,LP10541
10542,417000,208500,2/11/2011,5.94,60,12/31/2012,LB10542,10542,10542,LP10542
10543,290000,217500,4/1/2011,5.75,180,6/30/2014,LB10543,10543,10543,LP10543
10544,220000,110000,3/1/2011,5.25,180,4/30/2019,LB10544,10544,10544,LP10544
10545,20000,10000,2/11/2011,7.25,36,2/28/2014,LB10545,10545,10545,LP10545
10546,25000,12500,2/11/2011,7.25,84,12/31/2016,LB10546,10546,10546,LP10546
10547,10000,5000,4/1/2011,7.25,84,4/30/2014,LB10547,10547,10547,LP10547
10548,39000,19500,3/1/2011,9.25,60,3/31/2016,LB10548,10548,10548,LP10548
10549,10000,5000,3/1/2011,9.75,60,12/31/2017,LB10549,10549,10549,LP10549
10550,80600,60450,4/1/2011,6.25,60,6/30/2014,LB10550,10550,10550,LP10550
10551,99200,74400,4/1/2011,5.75,180,6/30/2014,LB10551,10551,10551,LP10551
10552,20000,10000,3/1/2011,9.75,36,5/31/2014,LB10552,10552,10552,LP10552
10553,300000,150000,3/1/2011,6,84,1/31/2015,LB10553,10553,10553,LP10553
10554,60000,30000,2/11/2011,6,60,3/31/2016,LB10554,10554,10554,LP10554
10555,310000,232500,2/11/2011,5.25,84,7/31/2015,LB10555,10555,10555,LP10555
10556,25000,21250,2/11/2011,6.75,84,3/31/2018,LB10556,10556,10556,LP10556
10557,90773,77157,3/1/2011,5.5,60,1/31/2013,LB10557,10557,10557,LP10557
10558,350000,175000,2/11/2011,7.76,84,12/31/2016,LB10558,10558,10558,LP10558
10559,50000,25000,3/1/2011,4.25,84,2/28/2014,LB10559,10559,10559,LP10559
10560,50000,42500,2/11/2011,7,84,4/30/2018,LB10560,10560,10560,LP10560
10561,50000,25000,2/11/2011,6,104,10/31/2019,LB10561,10561,10561,LP10561
10562,125000,62500,3/1/2011,4.99,84,1/31/2013,LB10562,10562,10562,LP10562
10563,248000,186000,4/1/2011,6,120,7/31/2016,LB10563,10563,10563,LP10563
10564,25000,12500,3/1/2011,5.5,60,2/28/2014,LB10564,10564,10564,LP10564
10565,50000,42500,2/11/2011,7,32,6/30/2020,LB10565,10565,10565,LP10565
10566,25000,12500,2/11/2011,6.25,84,12/31/2017,LB10566,10566,10566,LP10566
10567,45000,22500,2/11/2011,9.25,84,10/31/2018,LB10567,10567,10567,LP10567
10568,50000,25000,2/11/2011,7.25,84,6/30/2012,LB10568,10568,10568,LP10568
10569,150000,127500,5/1/2011,6,84,8/31/2016,LB10569,10569,10569,LP10569
10570,50700,25350,3/1/2011,7,84,2/28/2018,LB10570,10570,10570,LP10570
10571,725400,544050,2/11/2011,6,84,6/30/2015,LB10571,10571,10571,LP10571
10572,17200,8600,2/11/2011,6.5,24,2/28/2013,LB10572,10572,10572,LP10572
10573,46500,39525,8/1/2011,7,120,9/30/2017,LB10573,10573,10573,LP10573
10574,25000,12500,3/1/2011,5.3,63,6/30/2015,LB10574,10574,10574,LP10574
10575,25000,12500,3/1/2011,6.39,72,1/31/2014,LB10575,10575,10575,LP10575
10576,25000,12500,3/1/2011,5.75,95,2/29/2016,LB10576,10576,10576,LP10576
10577,75000,37500,3/1/2011,7.75,84,6/30/2012,LB10577,10577,10577,LP10577
10578,50000,25000,4/1/2011,7.5,84,3/31/2014,LB10578,10578,10578,LP10578
10579,15000,7500,2/11/2011,8.5,84,12/31/2011,LB10579,10579,10579,LP10579
10580,124700,62350,3/1/2011,6,120,6/30/2015,LB10580,10580,10580,LP10580
10581,50000,25000,4/1/2011,7.75,72,2/28/2017,LB10581,10581,10581,LP10581
10582,138000,69000,3/1/2011,7.25,84,2/28/2018,LB10582,10582,10582,LP10582
10583,25000,12500,2/11/2011,8.25,84,2/29/2016,LB10583,10583,10583,LP10583
10584,10000,5000,4/1/2011,6.26,24,2/29/2012,LB10584,10584,10584,LP10584
10585,15000,7500,3/1/2011,8,84,2/29/2016,LB10585,10585,10585,LP10585
10586,10000,5000,3/1/2011,7.5,60,3/31/2016,LB10586,10586,10586,LP10586
10587,25000,12500,4/1/2011,6,84,4/30/2017,LB10587,10587,10587,LP10587
10588,89000,44500,3/1/2011,6.25,18,8/31/2012,LB10588,10588,10588,LP10588
10589,200000,100000,3/1/2011,5.5,151,12/31/2019,LB10589,10589,10589,LP10589
10590,30000,15000,2/11/2011,4.25,84,4/30/2019,LB10590,10590,10590,LP10590
10591,20000,10000,6/1/2011,7,60,9/30/2012,LB10591,10591,10591,LP10591
10592,12177,6088,2/11/2011,7.75,84,5/31/2016,LB10592,10592,10592,LP10592
10593,25000,12500,6/1/2011,4.25,120,12/31/2019,LB10593,10593,10593,LP10593
10594,200000,100000,2/11/2011,7.75,84,8/31/2013,LB10594,10594,10594,LP10594
10595,31300,15650,3/1/2011,6.9,60,4/30/2012,LB10595,10595,10595,LP10595
10596,450000,225000,3/1/2011,6.5,36,5/31/2017,LB10596,10596,10596,LP10596
10597,250000,187500,8/1/2011,4.25,120,3/31/2019,LB10597,10597,10597,LP10597
10598,4474400,3355800,4/1/2011,4.5,300,8/31/2019,LB10598,10598,10598,LP10598
10599,85000,42500,3/1/2011,4.25,96,3/31/2017,LB10599,10599,10599,LP10599
10600,75000,37500,2/11/2011,7.5,84,8/31/2016,LB10600,10600,10600,LP10600
10601,50700,25350,2/11/2011,7.25,84,6/30/2011,LB10601,10601,10601,LP10601
10602,394000,295500,5/1/2011,6,240,8/31/2018,LB10602,10602,10602,LP10602
10603,300000,150000,2/11/2011,6.25,84,3/31/2018,LB10603,10603,10603,LP10603
10604,755000,566250,3/1/2011,6,300,3/31/2017,LB10604,10604,10604,LP10604
10605,315000,157500,2/11/2011,5.25,240,10/31/2013,LB10605,10605,10605,LP10605
10606,25000,21250,2/11/2011,5.25,84,7/31/2019,LB10606,10606,10606,LP10606
10607,37900,18950,2/11/2011,5.5,54,6/30/2013,LB10607,10607,10607,LP10607
10608,68000,57800,2/11/2011,5.52,56,10/31/2015,LB10608,10608,10608,LP10608
10609,47000,39950,2/11/2011,7.25,60,6/30/2014,LB10609,10609,10609,LP10609
10610,15000,7500,2/11/2011,9.25,84,8/31/2015,LB10610,10610,10610,LP10610
10611,18800,9400,2/11/2011,5.5,60,2/28/2013,LB10611,10611,10611,LP10611
10612,1417363,1063022,4/1/2011,5.75,264,4/30/2014,LB10612,10612,10612,LP10612
10613,4013000,3009750,6/1/2011,7,288,10/31/2013,LB10613,10613,10613,LP10613
10614,240000,180000,4/1/2011,6,120,2/29/2016,LB10614,10614,10614,LP10614
10615,19700,9850,2/11/2011,8.4,84,9/30/2017,LB10615,10615,10615,LP10615
10616,20000,10000,3/1/2011,6,36,3/31/2014,LB10616,10616,10616,LP10616
10617,50000,42500,3/1/2011,6,84,9/30/2017,LB10617,10617,10617,LP10617
10618,265000,198750,3/1/2011,6,300,1/31/2017,LB10618,10618,10618,LP10618
10619,100000,50000,2/11/2011,5.5,84,2/28/2018,LB10619,10619,10619,LP10619
10620,89400,75990,3/1/2011,6.5,60,3/31/2016,LB10620,10620,10620,LP10620
10621,20000,10000,2/12/2011,7.25,84,5/31/2017,LB10621,10621,10621,LP10621
10622,445000,333750,11/1/2013,7.75,60,4/30/2015,LB10622,10622,10622,LP10622
10623,15000,7500,2/12/2011,7.25,84,12/31/2015,LB10623,10623,10623,LP10623
10624,675000,506250,6/1/2011,5.5,90,6/30/2017,LB10624,10624,10624,LP10624
10625,356300,178150,2/12/2011,5.55,84,2/28/2015,LB10625,10625,10625,LP10625
10626,307500,230625,3/1/2011,5.75,84,8/31/2019,LB10626,10626,10626,LP10626
10627,200000,150000,4/1/2011,4.75,84,8/31/2012,LB10627,10627,10627,LP10627
10628,25000,12500,4/1/2014,6.25,84,6/30/2020,LB10628,10628,10628,LP10628
10629,25000,12500,2/13/2011,6.75,60,3/31/2016,LB10629,10629,10629,LP10629
10630,50000,25000,3/1/2011,7.75,4,7/31/2011,LB10630,10630,10630,LP10630
10631,100000,85000,8/1/2011,5.5,72,4/30/2016,LB10631,10631,10631,LP10631
10632,110000,93500,4/1/2011,7.5,62,8/31/2015,LB10632,10632,10632,LP10632
10633,234200,175650,4/1/2011,6,84,4/30/2015,LB10633,10633,10633,LP10633
10634,30100,25585,4/1/2011,6,90,7/31/2015,LB10634,10634,10634,LP10634
10635,15000,12750,2/14/2011,7.75,120,3/31/2012,LB10635,10635,10635,LP10635
10636,3079000,2309250,5/1/2011,6,300,9/30/2016,LB10636,10636,10636,LP10636
10637,683500,512625,3/1/2011,6,300,2/29/2016,LB10637,10637,10637,LP10637
10638,1000000,750000,3/1/2011,5.5,300,10/31/2016,LB10638,10638,10638,LP10638
10639,1025000,768750,7/1/2011,6,300,4/30/2017,LB10639,10639,10639,LP10639
10640,750000,562500,5/1/2011,5.75,240,7/31/2019,LB10640,10640,10640,LP10640
10641,10000,8500,2/14/2011,6.25,84,7/31/2019,LB10641,10641,10641,LP10641
10642,750000,562500,5/1/2011,5.75,120,7/31/2015,LB10642,10642,10642,LP10642
10643,12500,10625,2/14/2011,7.5,120,7/31/2019,LB10643,10643,10643,LP10643
10644,38000,19000,4/1/2011,7,60,7/31/2012,LB10644,10644,10644,LP10644
10645,40000,20000,5/1/2011,5.25,84,9/30/2011,LB10645,10645,10645,LP10645
10646,229500,172125,4/1/2011,6.1,84,11/30/2016,LB10646,10646,10646,LP10646
10647,20000,17000,2/14/2011,5.5,60,4/30/2014,LB10647,10647,10647,LP10647
10648,59600,50660,2/14/2011,5.5,84,4/30/2014,LB10648,10648,10648,LP10648
10649,520000,390000,2/14/2011,6.01,306,2/28/2015,LB10649,10649,10649,LP10649
10650,63000,31500,3/1/2011,6,60,8/31/2017,LB10650,10650,10650,LP10650
10651,20000,10000,2/14/2011,6.75,84,8/31/2016,LB10651,10651,10651,LP10651
10652,50000,42500,2/14/2011,7,84,7/31/2013,LB10652,10652,10652,LP10652
10653,50000,25000,4/1/2011,7.5,84,10/31/2017,LB10653,10653,10653,LP10653
10654,15000,12750,2/14/2011,7.75,120,4/30/2018,LB10654,10654,10654,LP10654
10655,6000,3000,3/1/2011,7,60,7/31/2015,LB10655,10655,10655,LP10655
10656,150000,127500,2/14/2011,6,300,6/30/2015,LB10656,10656,10656,LP10656
10657,17000,8500,2/14/2011,5.25,36,9/30/2012,LB10657,10657,10657,LP10657
10658,75000,37500,3/1/2011,6.25,84,7/31/2015,LB10658,10658,10658,LP10658
10659,69000,58650,3/1/2011,5.5,60,5/31/2012,LB10659,10659,10659,LP10659
10660,150000,75000,2/14/2011,4.2,84,12/31/2016,LB10660,10660,10660,LP10660
10661,25000,21250,2/14/2011,8,84,3/31/2018,LB10661,10661,10661,LP10661
10662,20000,10000,3/1/2011,6,84,4/30/2015,LB10662,10662,10662,LP10662
10663,85000,72250,4/1/2011,5.5,60,3/31/2016,LB10663,10663,10663,LP10663
10664,20000,10000,4/1/2011,6,84,4/30/2015,LB10664,10664,10664,LP10664
10665,200000,100000,3/1/2011,5,36,4/30/2017,LB10665,10665,10665,LP10665
10666,200000,100000,2/14/2011,6,84,4/30/2012,LB10666,10666,10666,LP10666
10667,25000,21250,4/1/2011,7,60,3/31/2015,LB10667,10667,10667,LP10667
10668,100000,85000,5/1/2011,6,240,2/28/2015,LB10668,10668,10668,LP10668
10669,200000,100000,6/1/2011,6.25,36,8/31/2014,LB10669,10669,10669,LP10669
10670,60000,30000,5/1/2011,6,82,5/31/2013,LB10670,10670,10670,LP10670
10671,50000,25000,2/14/2011,7.51,84,12/31/2017,LB10671,10671,10671,LP10671
10672,99300,74475,6/1/2011,6,84,11/30/2014,LB10672,10672,10672,LP10672
10673,15000,7500,2/14/2011,7.75,84,2/29/2012,LB10673,10673,10673,LP10673
10674,25000,12500,3/1/2011,8.25,60,3/31/2015,LB10674,10674,10674,LP10674
10675,25000,12500,9/1/2011,4.25,60,6/30/2014,LB10675,10675,10675,LP10675
10676,350000,175000,2/14/2011,5,84,6/30/2015,LB10676,10676,10676,LP10676
10677,405000,303750,3/1/2011,5.25,300,6/30/2017,LB10677,10677,10677,LP10677
10678,170000,127500,4/1/2011,6,84,5/31/2018,LB10678,10678,10678,LP10678
10679,100000,50000,3/1/2011,6.6,84,5/31/2013,LB10679,10679,10679,LP10679
10680,284200,142100,2/14/2011,6,84,6/30/2015,LB10680,10680,10680,LP10680
10681,200000,100000,2/14/2011,6.26,84,4/30/2016,LB10681,10681,10681,LP10681
10682,25000,21250,2/14/2011,8,84,2/28/2013,LB10682,10682,10682,LP10682
10683,375000,281250,2/14/2011,4.75,180,3/31/2016,LB10683,10683,10683,LP10683
10684,971000,873900,6/1/2011,6,120,12/31/2016,LB10684,10684,10684,LP10684
10685,1065000,798750,3/1/2011,6,300,10/31/2017,LB10685,10685,10685,LP10685
10686,56000,47600,2/14/2011,5.5,96,8/31/2015,LB10686,10686,10686,LP10686
10687,181000,135750,3/1/2011,5.75,120,9/30/2015,LB10687,10687,10687,LP10687
10688,2300000,2070000,4/1/2011,6,120,1/31/2016,LB10688,10688,10688,LP10688
10689,805000,603750,2/14/2011,6.01,120,4/30/2014,LB10689,10689,10689,LP10689
10690,200000,150000,2/14/2011,5.5,69,5/31/2014,LB10690,10690,10690,LP10690
10691,10000,5000,3/1/2011,9.75,84,8/31/2019,LB10691,10691,10691,LP10691
10692,700000,350000,2/14/2011,6.25,84,5/31/2014,LB10692,10692,10692,LP10692
10693,136300,115855,3/1/2011,6,180,2/28/2019,LB10693,10693,10693,LP10693
10694,35000,29750,2/14/2011,6,84,11/30/2011,LB10694,10694,10694,LP10694
10695,900000,675000,4/1/2011,6,300,7/31/2019,LB10695,10695,10695,LP10695
10696,220000,165000,3/1/2011,6,120,4/30/2019,LB10696,10696,10696,LP10696
10697,450000,337500,4/1/2011,6,120,12/31/2019,LB10697,10697,10697,LP10697
10698,300000,225000,4/1/2011,5.5,84,1/31/2017,LB10698,10698,10698,LP10698
10699,139000,118150,3/1/2011,6,120,12/31/2016,LB10699,10699,10699,LP10699
10700,25000,21250,2/14/2011,8,84,2/28/2018,LB10700,10700,10700,LP10700
10701,487800,365850,2/14/2011,6,120,3/31/2014,LB10701,10701,10701,LP10701
10702,10000,5000,2/14/2011,9.75,84,12/31/2015,LB10702,10702,10702,LP10702
10703,331000,248250,2/14/2011,5.25,60,7/31/2013,LB10703,10703,10703,LP10703
10704,18000,9000,3/1/2011,6,84,1/31/2018,LB10704,10704,10704,LP10704
10705,5000,2500,3/1/2011,9.5,84,9/30/2016,LB10705,10705,10705,LP10705
10706,50000,25000,3/1/2011,9.75,84,3/31/2012,LB10706,10706,10706,LP10706
10707,25000,12500,2/14/2011,7.25,36,1/31/2020,LB10707,10707,10707,LP10707
10708,50000,25000,2/14/2011,5.25,84,1/31/2016,LB10708,10708,10708,LP10708
10709,10000,5000,2/14/2011,8.35,84,11/30/2011,LB10709,10709,10709,LP10709
10710,300000,150000,3/1/2011,6,84,8/31/2019,LB10710,10710,10710,LP10710
10711,30000,15000,2/14/2011,5,60,3/31/2016,LB10711,10711,10711,LP10711
10712,19000,9500,10/1/2011,5.75,84,2/28/2018,LB10712,10712,10712,LP10712
10713,394000,295500,4/1/2011,6.01,126,4/30/2014,LB10713,10713,10713,LP10713
10714,90000,45000,4/1/2011,6.9,84,10/31/2012,LB10714,10714,10714,LP10714
10715,17500,8750,2/14/2011,7.25,84,2/28/2014,LB10715,10715,10715,LP10715
10716,405000,303750,4/1/2011,6,258,5/31/2013,LB10716,10716,10716,LP10716
10717,886000,664500,8/1/2011,6,180,5/31/2019,LB10717,10717,10717,LP10717
10718,160000,120000,5/1/2011,6,84,6/30/2012,LB10718,10718,10718,LP10718
10719,160000,120000,4/1/2011,6,84,8/31/2012,LB10719,10719,10719,LP10719
10720,227200,170400,2/15/2011,6,120,11/30/2019,LB10720,10720,10720,LP10720
10721,822000,616500,4/1/2011,4.75,84,3/31/2016,LB10721,10721,10721,LP10721
10722,511300,383475,4/1/2011,4.75,84,3/31/2016,LB10722,10722,10722,LP10722
10723,178500,133875,3/1/2011,6,84,12/31/2015,LB10723,10723,10723,LP10723
10724,1232000,924000,4/1/2011,4.75,132,3/31/2016,LB10724,10724,10724,LP10724
10725,10000,5000,6/1/2011,8,84,4/30/2014,LB10725,10725,10725,LP10725
10726,288500,216375,4/1/2011,6,90,2/28/2015,LB10726,10726,10726,LP10726
10727,50000,25000,2/15/2011,7.51,24,6/30/2013,LB10727,10727,10727,LP10727
10728,7500,6375,2/15/2011,7.75,120,2/28/2013,LB10728,10728,10728,LP10728
10729,125000,62500,3/1/2011,5.75,84,10/31/2013,LB10729,10729,10729,LP10729
10730,28000,14000,2/15/2011,7.76,84,1/31/2018,LB10730,10730,10730,LP10730
10731,1894000,1420500,6/1/2011,5.5,120,12/31/2018,LB10731,10731,10731,LP10731
10732,50000,25000,2/15/2011,7.75,84,3/31/2017,LB10732,10732,10732,LP10732
10733,203100,101550,2/15/2011,6.5,189,7/31/2015,LB10733,10733,10733,LP10733
10734,18000,15300,6/1/2011,6,84,2/29/2016,LB10734,10734,10734,LP10734
10735,200000,100000,3/1/2011,6.5,12,4/30/2012,LB10735,10735,10735,LP10735
10736,76000,38000,2/15/2011,6.25,144,12/31/2019,LB10736,10736,10736,LP10736
10737,10000,5000,5/1/2011,8.31,84,2/28/2018,LB10737,10737,10737,LP10737
10738,150000,75000,5/1/2011,5.25,83,9/30/2019,LB10738,10738,10738,LP10738
10739,80000,68000,3/1/2011,6,84,12/31/2011,LB10739,10739,10739,LP10739
10740,917500,688125,3/1/2011,6,86,8/31/2014,LB10740,10740,10740,LP10740
10741,310000,232500,3/1/2011,6,121,12/31/2011,LB10741,10741,10741,LP10741
10742,607200,455400,3/1/2011,7.05,95,5/31/2014,LB10742,10742,10742,LP10742
10743,5000000,3750000,3/1/2011,5.25,300,7/31/2019,LB10743,10743,10743,LP10743
10744,50000,25000,8/1/2011,5.5,84,10/31/2019,LB10744,10744,10744,LP10744
10745,5000,2500,11/1/2011,9.75,84,5/31/2012,LB10745,10745,10745,LP10745
10746,296000,222000,3/1/2011,7,120,1/31/2017,LB10746,10746,10746,LP10746
10747,86300,43150,5/1/2011,6.15,240,3/31/2016,LB10747,10747,10747,LP10747
10748,150000,127500,3/1/2011,6,84,10/31/2014,LB10748,10748,10748,LP10748
10749,75000,63750,4/1/2011,6,83,8/31/2018,LB10749,10749,10749,LP10749
10750,150000,127500,5/1/2011,6,120,12/31/2016,LB10750,10750,10750,LP10750
10751,675000,506250,7/1/2011,4.75,84,10/31/2013,LB10751,10751,10751,LP10751
10752,125000,106250,4/1/2011,6,120,4/30/2017,LB10752,10752,10752,LP10752
10753,100000,50000,6/1/2011,7.75,84,4/30/2018,LB10753,10753,10753,LP10753
10754,182400,136800,8/1/2011,6,84,8/31/2018,LB10754,10754,10754,LP10754
10755,25000,12500,2/1/2012,6,136,6/30/2020,LB10755,10755,10755,LP10755
10756,68000,57800,3/1/2011,6,120,6/30/2020,LB10756,10756,10756,LP10756
10757,150000,127500,4/1/2011,5.5,84,12/31/2017,LB10757,10757,10757,LP10757
10758,2000000,1500000,2/15/2011,5.25,300,1/31/2014,LB10758,10758,10758,LP10758
10759,282000,211500,3/1/2011,6,120,8/31/2013,LB10759,10759,10759,LP10759
10760,12500,10625,2/15/2011,7.75,66,6/30/2017,LB10760,10760,10760,LP10760
10761,25000,12500,3/1/2011,7.4,84,2/29/2016,LB10761,10761,10761,LP10761
10762,250000,125000,10/1/2011,5.5,84,6/30/2017,LB10762,10762,10762,LP10762
10763,107200,53600,3/1/2011,7.75,72,12/31/2011,LB10763,10763,10763,LP10763
10764,4500,2250,3/1/2011,5.25,36,9/30/2013,LB10764,10764,10764,LP10764
10765,690000,345000,3/1/2011,4.75,84,6/30/2014,LB10765,10765,10765,LP10765
10766,27000,13500,3/1/2011,5.5,60,2/29/2016,LB10766,10766,10766,LP10766
10767,25000,12500,3/1/2012,4.25,60,2/29/2016,LB10767,10767,10767,LP10767
10768,25000,12500,2/15/2011,8.15,84,3/31/2013,LB10768,10768,10768,LP10768
10769,15000,7500,2/15/2011,7.24,60,1/31/2014,LB10769,10769,10769,LP10769
10770,65000,32500,3/1/2011,4.25,84,4/30/2014,LB10770,10770,10770,LP10770
10771,50000,25000,2/15/2011,5.7,84,7/31/2014,LB10771,10771,10771,LP10771
10772,371000,278250,2/15/2011,6,120,8/31/2012,LB10772,10772,10772,LP10772
10773,25000,12500,2/15/2011,4.5,84,9/30/2019,LB10773,10773,10773,LP10773
10774,60000,30000,3/1/2011,5.85,60,3/31/2016,LB10774,10774,10774,LP10774
10775,10000,5000,2/15/2011,9.75,84,1/31/2019,LB10775,10775,10775,LP10775
10776,50000,42500,2/15/2011,7,84,5/31/2012,LB10776,10776,10776,LP10776
10777,1782000,1336500,2/15/2011,5.75,300,3/31/2015,LB10777,10777,10777,LP10777
10778,246900,185175,3/1/2011,7.45,285,9/30/2018,LB10778,10778,10778,LP10778
10779,5000,2500,3/1/2011,7.5,60,2/29/2016,LB10779,10779,10779,LP10779
10780,1250000,937500,8/1/2011,6,210,3/31/2017,LB10780,10780,10780,LP10780
10781,800000,600000,2/15/2011,6,120,4/30/2014,LB10781,10781,10781,LP10781
10782,25000,12500,2/15/2011,9.25,84,2/29/2016,LB10782,10782,10782,LP10782
10783,40000,20000,6/1/2011,8.25,84,2/29/2016,LB10783,10783,10783,LP10783
10784,125000,106250,3/1/2011,7.05,90,10/31/2012,LB10784,10784,10784,LP10784
10785,150000,75000,2/15/2011,7.75,36,11/30/2013,LB10785,10785,10785,LP10785
10786,1080000,810000,3/1/2011,5.25,300,7/31/2015,LB10786,10786,10786,LP10786
10787,10000,5000,8/1/2011,6,84,3/31/2018,LB10787,10787,10787,LP10787
10788,1424000,1068000,2/15/2011,6.01,192,6/30/2013,LB10788,10788,10788,LP10788
10789,150000,75000,3/1/2011,6,84,3/31/2018,LB10789,10789,10789,LP10789
10790,10000,8500,2/15/2011,7.75,120,3/31/2018,LB10790,10790,10790,LP10790
10791,86700,43350,2/15/2011,6.65,168,1/31/2014,LB10791,10791,10791,LP10791
10792,20000,10000,2/15/2011,6.5,84,7/31/2019,LB10792,10792,10792,LP10792
10793,50000,42500,8/1/2011,7,84,3/31/2017,LB10793,10793,10793,LP10793
10794,25000,12500,2/15/2011,7.75,84,11/30/2017,LB10794,10794,10794,LP10794
10795,215000,161250,6/1/2011,6,240,10/31/2016,LB10795,10795,10795,LP10795
10796,35000,17500,4/1/2011,5.5,94,6/30/2019,LB10796,10796,10796,LP10796
10797,10000,5000,2/15/2011,7.5,60,4/30/2015,LB10797,10797,10797,LP10797
10798,10000,5000,3/1/2011,8,84,4/30/2017,LB10798,10798,10798,LP10798
10799,2345100,1758825,4/1/2011,4.88,120,3/31/2020,LB10799,10799,10799,LP10799
10800,235000,176250,2/15/2011,6,120,4/30/2016,LB10800,10800,10800,LP10800
10801,53400,45390,2/15/2011,5.51,84,3/31/2018,LB10801,10801,10801,LP10801
10802,2043900,1532925,4/1/2011,4.88,120,3/31/2020,LB10802,10802,10802,LP10802
